epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2889,1.06595,3.73214,1.32072,0.01875,1,0.50022,0.37803,0.5814,4.00719,1.00671,2.499e-05,2.499e-05,2.499e-05
2,27.7258,1.07446,3.68441,1.28317,0.0204,1,0.72333,0.57098,0.59691,4.0191,0.9742,5.80214e-05,5.80214e-05,5.80214e-05
3,40.7628,0.8776,3.38882,1.15968,0.01855,0.83333,0.77422,0.60852,0.78721,4.03744,1.01444,9.07229e-05,9.07229e-05,9.07229e-05
4,53.1362,0.90811,3.20359,1.20877,0.01979,0.83333,0.74718,0.49849,0.92837,3.86747,1.05343,0.000123094,0.000123094,0.000123094
5,66.1491,0.91555,2.75844,1.18969,0.02275,0.83333,0.74826,0.46084,0.97732,3.8621,1.02805,0.000155136,0.000155136,0.000155136
6,78.7057,0.90635,2.64702,1.18588,0.03027,0.83333,0.74876,0.47496,1.00378,3.72608,1.01499,0.000186848,0.000186848,0.000186848
7,91.7501,1.03204,2.51087,1.25036,0.03312,0.83333,0.74867,0.50797,1.03838,3.5993,1.03546,0.00021823,0.00021823,0.00021823
8,105.128,0.88423,2.35953,1.19029,0.0306,0.83333,0.74813,0.51571,0.92239,3.60116,1.01355,0.000249282,0.000249282,0.000249282
9,118.243,0.9576,2.11074,1.14649,0.03195,0.83333,0.72083,0.4666,0.83257,3.69537,1.03448,0.000280005,0.000280005,0.000280005
10,130.587,1.04151,1.95966,1.166,0.02517,0.83333,0.6836,0.43791,0.75706,3.67008,1.00591,0.000310397,0.000310397,0.000310397
11,142.876,0.86336,1.72033,1.14034,0.02349,0.83333,0.43982,0.33987,0.81449,3.70541,1.04064,0.00034046,0.00034046,0.00034046
12,155.12,0.90439,1.74171,1.14824,0.93644,0.16667,0.24363,0.17923,1.30912,3.79435,1.21355,0.000370192,0.000370192,0.000370192
13,167.233,1.0483,1.73355,1.16508,0.09038,0.66667,0.62038,0.31278,1.17905,3.65173,1.11551,0.000399595,0.000399595,0.000399595
14,179.406,0.9322,1.54096,1.08722,0.02161,0.83333,0.67276,0.47282,0.85406,3.56665,1.00938,0.000428668,0.000428668,0.000428668
15,192.107,0.91111,1.51632,1.1205,0.96761,0.33333,0.672,0.5128,0.78717,3.30882,1.12809,0.000457411,0.000457411,0.000457411
16,204.317,0.8763,1.54542,1.17571,1,0.63797,0.69348,0.47843,1.1367,3.21955,1.25783,0.000485824,0.000485824,0.000485824
17,216.331,0.91656,1.54961,1.17967,0.77248,0.5,0.68148,0.41417,1.16152,3.08669,1.15511,0.000513908,0.000513908,0.000513908
18,228.665,0.86939,1.46055,1.113,0.97552,0.6045,0.71861,0.52794,0.85383,3.07832,1.04186,0.000541661,0.000541661,0.000541661
19,240.715,0.91671,1.4023,1.12384,0.94494,0.6275,0.73792,0.53579,0.73846,3.19265,1.02964,0.000569085,0.000569085,0.000569085
20,252.676,0.88082,1.49441,1.11987,0.93759,0.65882,0.88389,0.63253,0.95263,3.20148,1.13481,0.000596179,0.000596179,0.000596179
21,265.529,0.93723,1.45523,1.14299,0.87482,0.56279,0.86537,0.62781,1.0503,2.98442,1.13519,0.000622942,0.000622942,0.000622942
22,277.632,0.93109,1.44727,1.18598,0.9075,0.33333,0.75944,0.55108,1.00863,3.06264,1.08328,0.000649376,0.000649376,0.000649376
23,289.555,0.86219,1.55299,1.18085,0.99501,0.33333,0.7913,0.6183,0.94796,3.15752,1.0945,0.000675481,0.000675481,0.000675481
24,301.509,0.91648,1.42952,1.09871,0.99187,0.33333,0.845,0.64443,0.84577,3.25964,1.07635,0.000701255,0.000701255,0.000701255
25,313.6,0.80975,1.389,1.09585,0.99439,0.33333,0.84115,0.62387,1.1181,3.29297,1.37226,0.000726699,0.000726699,0.000726699
26,325.593,0.80615,1.26936,1.07681,0.92541,0.66667,0.79345,0.53994,1.17078,2.85373,1.38271,0.000729916,0.000729916,0.000729916
27,337.408,0.89387,1.45487,1.10566,0.92155,0.66667,0.85397,0.53158,1.31548,2.83126,1.4657,0.000725793,0.000725793,0.000725793
28,349.284,0.82563,1.23311,1.09877,0.8632,0.66667,0.82917,0.51254,1.16217,2.83811,1.2852,0.00072167,0.00072167,0.00072167
29,361.033,0.81109,1.21721,1.04222,0.81555,0.5,0.78444,0.52818,1.22688,2.67057,1.25114,0.000717546,0.000717546,0.000717546
30,372.942,0.87974,1.15798,1.06538,0.87107,0.5,0.71806,0.50571,1.26257,2.54288,1.28084,0.000713423,0.000713423,0.000713423
31,384.969,0.85232,1.24741,1.08367,0.87606,0.5,0.71806,0.48246,1.14336,2.62126,1.23677,0.000709299,0.000709299,0.000709299
32,397.17,0.93234,1.40629,1.16657,0.90111,0.60961,0.796,0.59305,1.20888,2.79391,1.22777,0.000705176,0.000705176,0.000705176
33,409.064,0.92106,1.42789,1.10642,0.89889,0.62216,0.75167,0.52702,1.19879,2.83597,1.22295,0.000701053,0.000701053,0.000701053
34,421.118,0.85219,1.28339,1.09391,0.90795,0.65248,0.74864,0.47679,1.2039,2.5881,1.20072,0.000696929,0.000696929,0.000696929
35,433.048,0.89968,1.26202,1.12658,0.80863,0.66537,0.62081,0.45385,1.13108,2.47638,1.20017,0.000692806,0.000692806,0.000692806
36,445,0.75182,1.17462,1.07061,0.92521,0.65638,0.69754,0.56715,1.02707,2.35113,1.18509,0.000688683,0.000688683,0.000688683
37,456.906,0.78209,1.07393,1.03218,0.9434,0.66667,0.67992,0.52922,0.97589,2.3775,1.15158,0.000684559,0.000684559,0.000684559
38,468.833,0.86541,1.27869,1.08577,0.95417,0.66667,0.83711,0.58961,1.10608,2.25347,1.19948,0.000680436,0.000680436,0.000680436
39,480.813,0.79122,1.21048,1.04286,0.95005,0.66667,0.69586,0.43789,1.178,2.39161,1.24787,0.000676313,0.000676313,0.000676313
40,492.841,0.76255,1.06036,1.04318,0.95175,0.66667,0.71023,0.44569,1.12843,2.95026,1.31368,0.000672189,0.000672189,0.000672189
