epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2652,1.06851,3.83614,1.35194,0.01597,0.83333,0.23812,0.18618,0.728,4.27973,1.13417,2.499e-05,2.499e-05,2.499e-05
2,44.8513,1.09455,3.80903,1.31085,0.02324,1,0.61389,0.45126,0.65609,4.22655,1.1437,5.80214e-05,5.80214e-05,5.80214e-05
3,64.3707,0.9755,3.49122,1.25772,0.03142,1,0.67671,0.47033,0.87041,4.14677,1.21086,9.07229e-05,9.07229e-05,9.07229e-05
4,82.6572,0.95073,3.35198,1.28672,0.03393,1,0.75481,0.4716,0.98194,4.02283,1.2709,0.000123094,0.000123094,0.000123094
5,101.226,0.97926,2.83767,1.30267,0.03444,1,0.80611,0.45988,1.12833,3.95742,1.38033,0.000155136,0.000155136,0.000155136
6,118.859,0.96228,2.76209,1.27819,0.04525,1,0.62308,0.39272,1.15109,3.90843,1.32237,0.000186848,0.000186848,0.000186848
7,136.454,1.05421,2.75112,1.30954,0.06086,1,0.7379,0.39012,1.09834,3.86647,1.24994,0.00021823,0.00021823,0.00021823
8,154.428,0.91285,2.4824,1.28262,0.05652,1,0.68234,0.46893,0.96226,3.77241,1.20243,0.000249282,0.000249282,0.000249282
9,172.182,0.92892,2.24686,1.22251,0.05357,1,0.75694,0.48649,0.9575,3.75694,1.25485,0.000280005,0.000280005,0.000280005
10,189.901,0.99836,2.0353,1.23214,0.04788,1,0.63528,0.42011,1.05543,3.81435,1.27878,0.000310397,0.000310397,0.000310397
11,207.553,0.8742,1.87577,1.21342,0.04906,1,0.71806,0.54885,1.06533,3.83322,1.25046,0.00034046,0.00034046,0.00034046
12,225.203,0.89314,1.87886,1.25445,1,0.26291,0.67583,0.51773,1.02205,3.55906,1.21439,0.000370192,0.000370192,0.000370192
13,243.517,0.94835,1.86132,1.20597,0.58108,0.63976,0.74713,0.44603,1.15181,3.59,1.28189,0.000399595,0.000399595,0.000399595
14,262.605,0.96978,1.63221,1.1423,0.77732,0.33333,0.72968,0.55225,0.99309,3.58407,1.17879,0.000428668,0.000428668,0.000428668
15,282.357,0.98575,1.67285,1.17002,0.85172,0.53311,0.63159,0.43896,0.93403,3.42303,1.17718,0.000457411,0.000457411,0.000457411
